Issue,Sub-issue,Consumer complaint narrative
Fees or interest,Charged too much interest,The APR on the account prior to the Federal Reserve interest rate decrease was 29.99 % and when the most recent statement cycled on XX/XX/year> the APR on that statement reflected 29.74 % which is only a quarter percentage instead of the actual half percentage so the statement should be refecting 29.49 %
Closing your account,Company closed your account,
Fees or interest,Problem with fees,
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,"The latest information is that XXXX XXXX, Resolution Specialist Regulatory Complaints Bank of America XXXX Extension XXXX was assigned my case via email. This is probably the 10th PERSON that has been assigned my case. I have saved all the emails for the individuals assigned my case. I call the number, leave a message, and never received a call back. I also follow up with emails stating to call my phone ( XXXX ) XXXX and never get a call. 

Bank of America has a system in place where people will just give up due to the above issues. I have been trying to get this resolved since XXXX and only expect reports on the credit cards listed in my name!!! NO MONEY EXPECTED from Bank of America, I just need them to do their job on the accounts in my name. Since the fraudulent charges are significant in my case, I will NEVER give up. I need help because the person I was married to for XXXX  years has stolen over {$10.00} XXXX dollars and a large portion is through credit card fraud ( XXXX, XXXX, XXXX  etc with funds going into an account associated with XXXX XXXX ). I thought Bank of America would help me because of my long standing great relationship with them for 20+ years and all bills paid on time. I have more cards and will issue complaints on them as well. I will issue those as soon as I get the XXXX XXXX convictions underway for mail and wire fraud. 

Thanks"
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"I received a statement that included a {$55.00} charge for my BJs membership on a Capital One Credit card that I have never opened. When calling in, they did not have the correct contact information or date of birth and could not verify my account. I sent in my drivers license multiple times so I could verify my account and discuss this credit card. Unfortunately they continued sending me bills with additional fees for failing to pay. I was finally able to open a fraud case stating I did not open this credit card. Fraud department came back and stated they verified that I opened this card. I do not speak English well, I am an XXXX XXXX XXXX low income individual. They keep sending me bills with fees for a credit card I never opened or consented to opening."
Getting a credit card,Card opened without my consent or knowledge,
Fees or interest,Problem with fees,"I recently went on a trip aboard at the beginning of XX/XX/year>. For a week I was aboard and I used my AMEX credit card for purchases. When I returned, I checked my online account and noticed each use of my card aboard had resulted in a XXXX  transaction fee, totalling over {$70.00}. I was not aware that using this card would result in these fees. I contacted AMEX to resolve the issue. I explained that I wasnt aware of foreign transaction fees on this card and had I been aware I would have used a different card on my trip. I requested a refund of the fees but AMEX would not do so. I attempted to escalate the situation to a supervisor and explained but AMEX would still not provide a refund."
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Getting a credit card,Application denied,
Fees or interest,Problem with fees,"On XXXX, XX/XX/year> XXXX charged me a {$30.00} late fee. Per the CFPB late fees are not to be charged if the due date falls in a XXXX XXXX, or a holiday. And as long as the payment is received the next business day by XXXX."
Closing your account,Company closed your account,"I have had a credit card with Bank of America for XXXX  years. Recently, the bank closed my account, citing inactivity for XXXX  months. They claim to have sent XXXX email and XXXX paper notices regarding the impending closure, but I never received any of the paper notices. Despite verifying that the address on file is correct, they closed the account less than XXXX months after supposedly trying to contact me about it. 

I did receive an email from the bank, but I believed it was related to another account for which I had requested a new card and made recent charges. The closure of this account, which I have maintained for over XXXX decades, has negatively impacted my XXXX XXXX. 

This is particularly concerning given my longstanding relationship with Bank of America. I have held over XXXX accounts with them for more than XXXX  years, including credit cards, HELOC, checking, savings, business checking, business savings, and business credit accounts. 

I would like the CFPB to investigate Bank XXXX XXXX handling of this matter, including their communication efforts, and assist in resolving this situation to prevent further damage to my XXXX XXXX."
Getting a credit card,Card opened without my consent or knowledge,My information was heisted and this accounts are fraudulent and do not belong to me. I would like these accounts completely removed from all three credit bureaus on my credit report.
"Advertising and marketing, including promotional offers",Didn't receive advertised or promotional terms,Citibank has the recording where I was told that cashing a promotional check the interest rate is 0 % for 12 months. I reinterated to the citibank associate before cashing the promotional check that it was 0 % interest for 12 months. They assured me it is 0 % for 12 months. Now they say that it is 3.99 % interest for 12 months plus an initial fee of 3.99 %. I get the initial fee of 3.99 % but not the 3.99 % for 12 months on top of that. When I contacted citibank they did listen to the recording and confirmed that their associate did state 0 % for 12 months. But they are not honoring that. Total bait and switch. I filed a complaint with citibank and they said they would investigate and reply within 7 to 14 days. Then I canceled my account and they just said fine and hung up. I have not heard back as to what their investigation found. I wonder how many other people they do this too.
Getting a credit card,Application denied,I applied to Bank of America to access my unlimited credit and was discriminated and denied in violation of the FCRA and the EOCA ( see attached letter and enclosures ). Credit is my right not a privilege.
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"I was a victim of credit card fraud. In XX/XX/year>, while I was traveling to XXXX, XXXX, my Bank of America credit card was stolen and used for various purchases. When I realized my card was missing/stolen, I contacted Bank of America and filed a dispute ( dispute number : XXXX in the amount of {$2800.00} ). My card was missing on an XXXX travel, and Bank of America told me they would take care of the fraudulent charges, and resolve the dispute. Initially, they credited me back the disputed fraudulent charges, but after a few months, I saw that the claim was rejected. When I saw that, I contacted the Bank of America claim department again, on XX/XX/year>, and asked for an explanation. I was shocked that they did not do their due diligence, and I requested that the funds be credited back to my account since this was a fraudulent charge. 
I demanded a proper investigation and explanation, and credit to my account for the fraudulent charges. The representative said they would get back to me, and up till now, I have had no resolution and explanation, while my funds were stolen. 
I am kindly requesting your help in solving this issue. 

Sincerely, XXXX XXXX"
Fees or interest,Problem with fees,
Fees or interest,Problem with fees,"Hello, Chase Freedom Credit Card charged me a late fee on XX/XX/year>XXXX  of {$29.00} and then on XX/XX/year>XXXX  of {$40.00} for being late with my payments. Both payments were fulfilled within less than 20 days in their correct months. I was bombarded with phone calls and text messages. I did speak with a Chase Representative and explained my situation. I was out of the country and could not make these payments on time however, I still made the payments before the 30-day window. The amount of phone calls and text messages for being less than 30 days late was outrageous. I have never experienced this with Chase in the past. The phone calls made me feel like I was doing something wrong when it was out of my control and not only did I take care of the payment but I paid the next month 's payment to show my commitment to paying my bills. I want Chase to refund me for the {$29.00} late fee on XX/XX/year>XXXX  and the {$40.00} late fee on XX/XX/year>."
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"Credit card XXXX XXXX is not protecting me against false advertising fraud. 
They have a dispute process where they do not employee senior account dispute resolution specialists to speak to the customer whenever they call. Disputes are forwarded to XXXX, and they are defrauding the clients out of preventing fraud on their accounts. They offer a call back and do so at their discretion. Half the time they do not call me back, the other XXXX of the time they call me at XXXX. I am XXXX and in chronic pain, I cant leave my ringer on for them to wake me at any point because they have failed to provide proper and basic service to the customers. XXXX has said I failed to prove a refund of monies was issued by the fraudulent falsely adverstised hotel. I never provided the hotel with my credit card, but the booking agent paid them eventhough I notified them it was fraud. Either way my card is required to protect me against fraud and XXXX has failed me. I your business to reach out to XXXX and help me with the fact they are breaking the law in this deceitful practice."
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Getting a credit card,Card opened without my consent or knowledge,
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,I was notified on XX/XX/year> of fraud on my Citi bank card was charged for air fair and restaurants was given credit on 3 but not on oneXXXXXXXX XXXX XXXXXXXX told them I did not purchase.I have called 15 to 20 times and was told I would be given credit. Please help me
Getting a credit card,Card opened without my consent or knowledge,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"I ordered food through XXXX XXXX  on XX/XX/year> in the amount of XXXX that I didn't receive. I got a text from XXXX XXXX  saying my food was delivered at XXXX I immediately called the driver 17 times he never answered. He was suppose suppose to hand me my food in my hand and I didn't get it. Then I called XXXX XXXX  5 times and sent emails, screen shots of when I called the driver. I also asked XXXX XXXX  to track the driver and it would show them that the driver never showed and they didn't at that point I did XXXX disputes with cashapp and they said they got proof from XXXX XXXX  and when I asked for the proof they sent me an email of my purchase through cashapp nothing from XXXX XXXX  and closed my claim multiple times."
"Advertising and marketing, including promotional offers",Didn't receive advertised or promotional terms,"Lands End offers a {$20.00} reward if a new purchase outside of Lands End is made within a certain period. Despite my doing this, they did not send the reward. They sent a lower amount and made it expire quickly, and still have not sent the {$20.00} they advertised."
Getting a credit card,Card opened without my consent or knowledge,"I am a victim of identity theft. The fraudulent information listed below is showing on my credit file but is not mine. I am officially disputing the fraudulent information and request an immediate investigation. Please remove the fraudulent information immediately from my file. 

LVNV Funding LLC {$2400.00}"
Fees or interest,Problem with fees,"Capital One 's policy on cash advances is they charge interest from the moment the cash is dispersed. I am fine with that. But the website does not allow customers to pay off the cash advance for a few days. For example, I took a {$5000.00} cash advance on XXXX XXXX XXXX. When I tried to pay it off on XXXX  at XXXX, the website does not allow it, saying it hasn't posted to my account yet - even though it shows I owe the {$5000.00} plus a cash advance fee of {$150.00}. I am allowed to pay off the {$5100.00} on XXXX XXXX XXXX. But within a few days a finance charge of about {$20.00} shows up on my account and they won't refund it telling me interest starts as soon as you take out the cash. That seems unfair. I was prepared to pay off the cash advance the same day I borrowed it but Cap One does not allow it."
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,"The dispute center has failed to resolve this issue by the indicated date. I provided proof that the charge should be removed and citi has failed to do so. 
XXXX {$280.00} The reps and even supervisor are incapable to resolve any type of issues. 
Ive been waiting for over 3 months When I called today and manager XXXX at the dispute center answers he hung up on me after XXXX hours of being on the phone on purpose. How does citi expects customer to fix issues like that when supervisors act that way? What type of company is this?"
Closing your account,Company closed your account,Company closed my account after 15 years in good standing. This adversely impacted my credit score. I attempted to reopen the account and they denied the request due to my credit report ( which was damaged as a result of their actions ). Very poor customer service as well.
Closing your account,Company closed your account,American Express offered a credit agreement of extension of credit that I apply for on XX/XX/year> and identified a billing error within the account that I would like to be resolved. I sent several affidavits and never received no response
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"Sears Mastercard by Citibank. 

XX/XX/year> : {$79.00} charge from XXXX annual account. I disputed the transaction for the second year in a row and the credit card company requested backup. As I do not have an account with XXXX I could provide no backup. As a result, the credit card company charged me for the transaction even though I told them via phone and on the computer that I don't even have an account with XXXX nor their parent company, XXXX."
Getting a credit card,Application denied,"I tried to get a credit card through Chase because they showed I had delinqucies on other accounts that I had not opened myself. One of the accounts opened without my knowledge was XXXXXXXX XXXX XXXX and there might be others as well? 

Chase informed me that my credit score was very low due to credit card statements that had not been paid. Prior to me attempting to open a credit with Chase, my credit was in high XXXX 's and now it is in the mid XXXX 's and I am unable to get a credit. 

I have frozen my identity with the three main bureaus. XXXX XXXX, XXXX and XXXX. 

Please advise me on me next steps."
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"I noticed an unauthorized inquiry in my credit report from JPMCB CARD SERVICES. According to the FCRA, these unverified and unauthorized items must be removed immediately."
"Advertising and marketing, including promotional offers",Didn't receive advertised or promotional terms,"I applied for a credit card through Venmo in XX/XX/2024 with a {$200.00} promotional credit when you spend {$1000.00} on the card within six months of opening. I have spent {$6300.00} on the card and have inquired of the company on four separate occasions through secure messaging in the app and over the phone. I was told I would need to wait 45 days from when the eligible purchase threshold was met. This threshold was met within 30 days of opening the card ( XX/XX/2024 ). The card has remained in good standing with full payment of the balance each month and no overdue or missed payments. It currently has a XXXX balance. It has been over three months since I met the spending threshold, and I still do not have the {$200.00} promotional credit in my account. I contacted Venmo on XX/XX/2024, XX/XX/2024, and again on XX/XX/2024. The most recent response was that I would receive an answer to my inquiry within 30 days by mail. This is unacceptable. Venmo is not keeping the agreement terms for which I signed up for this card. In XXXX, my card was placed on fraud alert, and I was told that this was why I had not received the promotion. I have asked the fraud alert to be lifted and still, the promotional credit has not been received."
Getting a credit card,Card opened without my consent or knowledge,
Getting a credit card,Card opened without my consent or knowledge,My information was heisted and this accounts are fraudulent and do not belong to me. I would like these accounts completely removed from all three credit bureaus on my credit report.
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"On XXXX XXXX. I had placed an order online through XXXX of an amount of {$4500.00}. the company refused to investigate whatever happened to my delivered I was also asked to provide my ssn which was strange never heard of any company asking for your social security number which I shouldve knew it was a scam, my bank hasnt really help me with this issues I'm frustrated with this outcome."
Getting a credit card,Card opened without my consent or knowledge,XX/XX/XXXX or XX/XX/XXXX charges were applied to an online account that I did not setup. All the charges were done per online. I never set up online accounts.
Getting a credit card,Card opened without my consent or knowledge,"On XX/XX/year> at XXXX, I visited Sam 's Club in XXXX XXXX, CA located on XXXX XXXX. The associate who rung up my purchases fraudulently applied for the Sam 's Club store credit card using my social security number without my consent. 


As the associate was checking out my items, she told me I had XXXX dollars on my account and asked me if I wanted to use it to reduce my total. I initially told her no, that I would like to save it to pay for the membership fees I share with my daughter. The associate told me that it was XXXX dollars just for me and that everyone gets it on their account. After she spent some time cajoling me, I agreed because I trusted that she was acting in good faith as an associate of Sam 's Club. She told me that the discount would be immediately applied and that all she needed was my social security number. She turned the keypad around for me to input my social security number, which I did. Thereafter I saw something that said to hit 'accept '. I wasn't sure what to do. The cashier said here let me help you. She turned the keypad back around and hit 'accept ' herself. I expected my bill total to be decreased, and I gave her my money to pay for my purchases. She ended up charging me the full amount of my total. The associate then revealed that the XXXX dollars would actually be sent to me in the mail in XXXX weeks. She then moved on to the next customer and would no longer engage with me. She didn't explain to me what just happened nor what she had accepted on the keypad. 


I was very confused, so I returned to Sam 's Club the next day on XX/XX/XXXX at XXXX to speak to the manager regarding the incident. I described to the manager what the cashier did, that I was deceived about a potential XXXX dollar discount on my total. I expressed my confusion about why my social security number was needed. The manager conveyed she thought the cashier most likely used it to apply for the store credit card. The manager was dismissive of me and my concerns. The manager would not help me further and simply gave me the store credit card phone number to call. I attempted to get the manager 's name for my records as she had her badge turned away. She refused to tell me what her name was. I was shocked that a manager of Sam 's Club would outright refuse such a straightforward request.

I later called the number I was given for the store credit card and confirmed that the Sam 's Club associate did indeed apply for the store credit card in my name using my social security number. 


This is fraud, and this is illegal. I was never asked if I wanted to sign up for the store credit card. The Sams Club associate, in no uncertain terms, lied to gain access to my personal information and used it to apply for a credit card in my name without my knowledge or consent."
Getting a credit card,Card opened without my consent or knowledge,
Fees or interest,Unexpected increase in interest rate,
Getting a credit card,Card opened without my consent or knowledge,"I, XXXX XXXX, as a federally protected consumer and per the Fair Credit Reporting Act ( 15 USC 1681 ) I am now opting out of any and all authorizations that I may have given you written, unwritten, oral, verbal or nonverbal per U.S.C 6802 effective immediately and indefinitely. 

XXXX  XXXX"
Getting a credit card,Card opened without my consent or knowledge,
Getting a credit card,Card opened without my consent or knowledge,
Closing your account,Can't close your account,Unable to delete my account and they charged me without my consent. I tried to delete the account days before they charged me but didn't go through.
Closing your account,Can't close your account,"Please help. I want to cancel and close my account with this credit card company : Continental Finance LLC. I suspect fraudulent business practices with my account. 

On XX/XX/XXXX I called the company to speak with a representative. I explained, that for months, I haven't been able to open and view my monthly statements online at their website. The representative said, "" I needed to download the app '' XXXX I asked what app, and he stated "" XXXX '' app. 

XXXX XXXX application is already loaded on my laptop. I proceeded to open XXXX site, to download statements from the credit card website, but the download permissions did not work. The links on the credit card website did not open, or open as a .pdf popup. Neither do the statements open on the mobile XXXX application. 

Finally, I canceled "" auto pay '', and requested my statements to be mailed to my home address. Now, I am filing my complaint. 

XX/XX/XXXX By the end of the call, I requested that the credit card company mail my monthly purchase/payment statements for the old credit card ending in "" XXXX '' for XXXX, XXXX, and XXXX. I am currently waiting to receive the statements by mail. 

XX/XX/XXXX I requested a new credit card because I could not open statements to verify my purchases and payments. Thinking, maybe if I order a new card this might help me keep track of my purchases and payments. 

XX/XX/XXXX Beginning XX/XX/XXXX, I started monitoring my payments to lower by credit card balance. But still having no way to view past and current purchases."
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"This is regarding my Chase Sapphire Reserve account. I prepaid for a rental car ( minivan ) from XXXX in XXXXXXXX XXXX  through Chase travel portal in XX/XX/XXXX for 11 days between XX/XX/XXXX to XXXX. The prepaid total was {$1800.00}. Upon picking up the car on XX/XX/XXXXXXXX XXXX did not have a minivan available, so I agreed to try the SUV they have ( XXXX XXXX ). I returned this car on the next day because it does not meet our trip 's needs. This was also the day I initiated my request for a refund via phone with Chase, since the car I paid for was never reserved. The XXXX agent assured me that I will be refunded for whatever amount I didn't use, which should be {$1800.00} minus one day of use of a smaller, lower rate car. On my initial call with Chase, they insisted that they can not guarantee the refund even though I didn't get the service I prepaid for, and they can not offer a timeline for refund if granted. It has been almost a month since my initial refund request, and I have called Chase more than a handful of times. They continue to delay the refund, put me on hold for almost an hour each time, without resolution to the issue. They repeatedly told me they will phone me back with updates but did not, and told me the money will be refunded in 1-2 billing cycles repeatedly when I call back couple weeks in between. Agents offer conflicting information between phone calls regarding the refund process ( some said I have to authorize the refund after hearing from XXXX accounting, some said there is nothing further for me to day but wait. ) Today, I was told by the manager at XXXX XXXXXXXX XXXX that my reservation was only reflected to be for 4 days and the total was around {$1100.00}. I was in disbelief and concerned that I will never get this money back. I believe Chase is dishonest and not handling my concern and my money in good faith."
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,"I placed an order on XXXX on XX/XX/year> and used Affirm To be able to make payments for the purchase. Before the order shipped I cancelled. Since that cancellation Affirm has contacted me every day via text, email or call saying I owe them {$20.00}. XXXX has confirmed the order was cancelled and never shipped. They said they contacted Affirm and told them this AND I emailed Affirm with a copy saying it never shipped from XXXX."
Fees or interest,Problem with fees,
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,"I noticed inquires on my Credit bureaus that I did not do. I noticed there was a credit card opened in XX/XX/XXXX with XXXX XXXX, an inquiry with XXXX XXXX in an inquiry with Wells Fargo. I do not have accounts or credit cards with any of these three bureaus. When I noticed on XX/XX/XXXX, I started with XXXX XXXX where they said this card was opened with XXXXXXXX XXXX. I had the credit card shut down. Next with XXXX XXXX where I was told that this individual attempted to open XXXX credit cards with my name, date of birth, and Social Security number. They stated that the address and phone number did not match. They would not disclose what the address and phone number were. They shut down the applications and no further action was needed with XXXXXXXX XXXX. Next was Wells Fargo where I was informed that there was two credit cards opened under my name, date of birth, and social. Wells Fargo reported the same thing as XXXX XXXX that the address, email and phone number did not match mine. That day I froze all three credit bureaus with XXXX XXXX XXXX XXXX XXXX. I received letters in the mail XXXXXXXX XXXX and XXXX XXXX claiming fraud was detected and accounts were closed down. XX/XX/XXXX I got a letter from Wells Fargo saying no fraud was detected but letter was not received until XX/XX/XXXX. I called in a reconsideration with Wells Fargo as a transaction went through on one card for {$2500.00}. The representative told me that they see this person bought "" points '' and that after the card was closed on XX/XX/XXXX that the person attempted to run it again on the XXXX XXXX XXXX. They told me the transaction happened on XX/XX/XXXX but did not post until days after. After XX/XX/XXXX I went into a Wells Fargo branch to change account information as I was having difficulty obtaining information from Wells Fargo since the information did not match my own therefore they could not verify my identity. The gentleman at Wells Fargo stated the account had an old address used at XXXXXXXX XXXX XXXX XXXX  but no unit number. My parents sold this condo back in XX/XX/XXXX. The phone number used to open Wells Fargo account was XXXX which I found was connected with XXXX XXXX XXXX XXXX and they said the number did not have my name on it but could not tell me whose name it was under. They said the phone number was also shut down. XX/XX/XXXX I got a letter from Wells Fargo again stating no fraud was detected. I called Wells Fargo at XXXX and spoke to XXXX who stated it was declined due to address and phone number being the same as the account. I tried to tell XXXX that I was forced to change the information on the account to have updates on the case. XXXX disregarded and said that I was not allowed to re-open a consideration unless a letter was faxed into their department stating why it needed to be reconsidered."
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"I had lost my credit card on XX/XX/XXXX and reported the card lost/stolen shortly after. There was XXXX transactions in total one for {$4900.00}, XXXX for {$44.00}, XXXX for {$40.00}, and the other one for {$43.00}. Once I reported these charges as fraud, the bank adjusted the purchases and my statement was back to {$0.00}. On XX/XX/XXXX I noticed that the charge for {$4900.00} was on my statement now, I thought it was an error and they would fix it but it stayed on my account. On XX/XX/XXXX I called about the charge, and the representative told me that the charge was filed back on my account due to it being suspicious because of a previous fraud charge on my account that had similar circumstances. This was the only piece of evidence they informed me about that they used to reach their conclusion. They only filed back the fraudulent charge of {$4900.00} but not the other ones which occurred on the same day which is strange."
Getting a credit card,Application denied,"I APPLIED FOR XXXXXXXX XXXX XXXX business credit card, i was denied and due to lack of credit. The company is fairly new but has a lot of revenue. I offered to provide bank statements to show revenue. The option was declined."
Closing your account,Company closed your account,"This credit card was my first credit card my history as I explained I paid XXXX $ in cash local BofA branch in XXXX XXXX, to get credit card with XXXX $ credit limit thats mean this is secure credit card. 
BofA makes decision to close this account Explained in mail sent to my address, that i exceed the limit which I paid in full. I call credit company explain but was desperate answer. BofA owes me the XXXX $ deposit they never paid.the worst is they cut my credit history significantly.I will be grateful appreciate if you investigate this issue. 
Thank you"
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Getting a credit card,Application denied,"Hello, I applied for a Chase Sapphire Preferred Card and was denied. A hard inquiry was made to my credit on XX/XX/year>, dropping my score to FICO score to XXXX, from an estimated XXXX. I did not receive any notice from the company so I called multiple times and different numbers where I was not informed about why I was declined and always told to wait 7-10 days to receive a letter in the mail. There has been no letter to provide reason for the denial. A formal "" Adverse action notice '' has not been provided in accordance to the ECOA. I have excellent credit, no delinquency, no other Chase credit cards, no recent hard inquiries to my credit. There is no reason to deny my application, thus my rights at this time have been violated."
Getting a credit card,Card opened without my consent or knowledge,
Getting a credit card,Card opened without my consent or knowledge,
Getting a credit card,Sent card you never applied for,"I received a credit card in the mail on XX/XX/year> from Bank of America that I did not apply for I tried calling on XX/XX/year> I Could not speak to a representative without giving them my account number. I tried entering the card number but that didn't work. I do not have an account with Bank of America. 
The bot then asked for my social security number to verify my identity which I refuse to give. The bot told me to try my call again later when I had the requested information and hung up on me, So, I am contacting you. 
I DID CHECK MY CREDIT REPORT THROUGH MY BANK AND SAW NO ACTIVITY, BUT DID NOT CHECK WITH THE ACTUAL CREDIT BUREAUS YET."
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"I have been in a ongoing dispute with Discover Card over several issues. An online merchant advertised a free trial period yet continued to charge me. I tried to cancel the subscription by logging in but to no avail. I reached out to Discover Card and the customer service rep reported the card as lost, rather than stolen. The merchant continued to charge me and it was only after too late and I had to clarify the charges were fraud. The account has been closed but Discover is still saying I'm responsible for the charges. Discover Card has been generally unhelpful, uncommunicative, and non-cooperative in this investigation."
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,"Chase Bank has attempted to charge me {$82.00} without showing cause for the charge. I have paid the credit card in full and have closed the account. I believe that Chase is involved in attempting to charge customers an amount of money not owned by the customer in an attempt to fool the customer into paying said amount. Chase is in violation of the Fair Credit Reporting Act ( 15 U.S.C. 1681 ) and has failed to report credit and fees correctly. It is my belief that Chase Bank is fully attempting to collect a debt that is not owned to the company ; furthermore, I believe that the company is purposefully involved in this criminal activity."
Getting a credit card,Card opened without my consent or knowledge,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"Hello, I ordered XXXX XXXX purse last year in XXXX XXXX. According to XXXX XXXX they delivered it on XXXX XXXX at XXXX and it was signed by me. When I got an email that it was delivered and signed, I called them right away. I told them that I am at work and I had provided XXXX XXXX a screenshot of my computer that shows the day and the time when I was at work at the time the package was delivered. In fact, XXXX XXXX couldnt refund and told me to contact my credit card company to dispute. I contacted Apple Credit Card Company and started my XXXX dispute on XX/XX/year>. As a proof I provided a screen shot of my computer showing the date and the time that I was at work when the package delivered so it was impossible for me to sign under anything. However, it was denied. Then, I opened the second dispute, this time I provided my timesheet from XXXX XXXX XXXXXXXX XXXX XXXX. Again, it was denied. I opened my XXXX XXXX dispute and provided a police report that got approved by the officer ( XXXX ) XXXX XXXX Police Department XXXX In fact, I got an email a few days ago that they denied my dispute and reversed the charges back to my account again. 

Please note that I submitted XXXX claims already. My main point is that i was not at home at the date and time the merchant claims delivery was made at my house. Their proof of delivery document has a signature that is not mine. In fact, i sent you my official timesheet and screenshot from my office computer to prove i was at work full time on that day. I even provided an Approved Police Report. You can clearly see that the signature they have does not match with my legal signature. It is possible they delivered the item to a wrong address because we leave in a community with a lot of identical townhouses and items can be easily delivered to a wrong address with similar numbers. This is my first dispute in my entire life and had never dealt with anything like this."
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"On or about XX/XX/XXXX I opened a case with pay pal regarding a purchase I received. On XX/XX/XXXX they requested more information see Screen Shot XXXX at XXXXXXXX XXXX.png below. On XX/XX/XXXX they requested tracking # see Screen Shot XXXX at XXXXXXXX XXXXpng below. The problem I have is they state case was closed because of improper tracking on XXXX please see Screen Shot XXXX at XXXX XXXXpng. Not true based on the screen shot Screen Shot XXXX at XXXXXXXX XXXXpng Shows derived on on XX/XX/XXXX. Issue I have they claim I was to provide tracking by XX/XX/XXXX. Thats impossible because the post office is closed on Sunday XX/XX/XXXX, Now see Screen Shot XXXX at XXXX Clearly states on their website I have unit XX/XX/year>. Problem I have is now is I have provided all the information as requested. The seller now has the merchandise. Pay-pal will not hold up honor what they have negotiated, and now says I am out {$320.00}. This is fraud unjust enrichment, also is against the law. Can you please help as you are my last resort. This is what the CFPB was designed for to consumer See case number XXXX"
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,
Fees or interest,Unexpected increase in interest rate,
Fees or interest,Charged too much interest,
Getting a credit card,Card opened without my consent or knowledge,"This CFPB complaint has been filed to request pursuant to FCRA 605B ( 15 U.S.C. 1681c-XXXX ) that you block information appearing on my consumer credit report that is the result of identity theft and fraud within 4 business days of you receiving this complaint. 

This fraudulent, inaccurate, and false information consists of a personal credit card account opened at XXXX XXXX XXXX XXXX XXXX on XX/XX/year> under the account number XXXX, with a balance of {$650.00} that appears related to the aforementioned Credit Card account opened at XXXX XXXX XXXX XXXX XXXX These accounts have resulted in several fraudulent hard Inquiries and fraudulent collections appearing on my consumer FICO credit report. I do not recognize the aforementioned accounts, collections, or hard inquiries as reported. The aforementioned accounts, collections, and hard inquiries appearing on my consumer credit report maintained by you were not opened, made, or initiated by me. All of the aforementioned accounts, collections, and hard inquiries are the result of identity theft and fraud. I have attached a copy of FTC Identity Theft Criminal Complaint # XXXX as proof from the US Federal Trade Commission that all of the aforementioned consumer credit accounts, collections are the result of identity theft and fraud."
Closing your account,Can't close your account,
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Getting a credit card,Application denied,I applied for an extension of my credit at Home Depot and got denied for whatever reason but the law says denials are unlawful 15 USC 1691.
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Getting a credit card,Delay in processing application,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
